,pmid
766,24795235
767,16957427
768,7713059
769,12687000
770,16135485
771,6534533
772,7969211
773,4255898
774,21874001
775,15107826
776,12445418
777,25308879
778,1582552
779,12464354
780,788059
781,2341590
782,19625514
783,5076556
784,2888983
785,17290005
786,7057563
787,2448012
788,20204580
789,16330438
790,17618945
791,9675624
792,14619364
793,20531975
794,3390215
795,19300240
796,17636248
797,30551535
798,21706413
799,7511402
800,17507105
801,18226667
802,15289866
803,2234544
804,17703430
805,15188079
806,4131838
807,8202215
808,17035936
809,5445639
810,31570891
811,8548860
812,19228889
813,5922324
814,2663213
815,19935899
816,3566848
817,9114956
818,8749038
819,1568425
820,9152989
821,12899212
822,1259128
823,11037386
824,31734849
825,6534823
826,14688224
827,12796759
828,16124712
829,15897523
830,19288321
831,18586230
832,15525998
833,1810574
834,7316307
835,7271381
836,11015126
837,6831472
838,12642748
839,10644443
840,15302130
841,11971643
842,1919384
843,9271479
844,10701024
845,9577173
846,7904035
847,23955962
848,7529182
849,8239963
850,17202559
851,20739823
852,21356620
853,7484022
854,2293548
855,1166949
856,18027541
857,2523975
858,22154323
859,20211752
860,11793617
861,18801409
862,18852136
863,1964580
864,20079400
865,518078
866,78009
867,17291490
868,11486156
869,17176674
870,6650953
871,23027747
872,7636537
873,17371473
874,27480280
875,16446376
876,9828669
877,9059069
878,1759074
879,4393517
880,3952992
881,15449313
882,10974130
883,21613822
884,19011270
885,19487938
886,4755080
887,12540782
888,9848785
889,10807541
890,9869655
891,10353255
892,8913458
893,7402259
894,20082116
895,28428136
896,1771077
897,6332925
898,2771062
899,18082302
900,6406045
901,22985397
902,10100840
903,12750708
904,6454943
905,12729838
906,21072771
907,18253808
908,16550227
909,23212306
910,8896393
911,16294271
912,900916
913,9382559
914,39038
915,4795129
916,5694600
917,18403863
918,9881663
919,7791026
920,22374506
921,2299141
922,8563032
923,482863
924,6435559
925,1547044
926,11465642
927,3103562
928,17873697
929,12543247
930,32133153
931,6711256
932,21415381
933,9700580
934,8655244
935,15790464
936,17230007
937,2867049
938,4639329
939,27866839
940,20945912
941,6638439
942,1632675
943,21903368
944,17924780
945,671691
946,21295104
947,4723818
948,8973777
949,29618713
950,18435754
951,11446934
952,12227196
953,15740777
954,7465480
955,24276216
956,3589118
957,17626489
958,21289285
959,7442434
960,2254588
961,9232541
962,1972527
963,6826535
964,18071297
965,2520495
966,1261401
967,6373596
968,2937155
969,3016343
970,16620991
971,18791946
972,26723573
973,7388724
974,9169506
975,17415656
976,15138554
977,29571893
978,17152362
979,3789887
980,19834406
981,16272259
982,758505
983,19861195
984,17049068
985,12589378
986,17487265
987,9416775
988,6169317
989,29688711
990,3886357
991,17874071
992,2589679
993,8317498
994,8484536
995,19616568
996,175486
997,2013121
998,18597074
999,2993362
1000,1178695
1001,4653884
1002,29723724
1003,7431181
1004,7869854
1005,19913604
1006,18462746
1007,15882756
1008,26474975
1009,16183385
1010,8033108
1011,26426028
1012,28433925
1013,16858173
1014,12535471
1015,2891433
1016,423182
1017,19203554
1018,11498064
1019,19234905
1020,1390139
1021,18755414
1022,9414061
1023,24571310
1024,2519264
1025,29341352
1026,17056225
1027,19922765
1028,10751931
1029,6862465
1030,2716647
1031,7664859
1032,6146597
1033,16246977
1034,30801904
1035,7671567
1036,20636664
1037,2222089
1038,10585811
1039,18495116
1040,2089934
1041,28536482
1042,25849418
1043,6123780
1044,1835292
1045,30481507
1046,6800090
1047,16772709
1048,7255821
1049,9854621
1050,17868884
1051,16950614
1052,9499523
1053,16386595
1054,30290168
1055,20846025
1056,24472609
1057,18772251
1058,7946029
1059,8050629
1060,12533039
1061,16007097
1062,9260866
1063,15856184
1064,21382472
1065,4909201
1066,19345340
1067,1979968
1068,1324513
1069,12377391
1070,4051280
1071,19479803
1072,3227963
1073,11151443
1074,18991856
1075,16675582
1076,7491094
1077,25037585
1078,18280257
1079,15076223
1080,20060166
1081,20136356
1082,738293
1083,30394316
1084,15256057
1085,835937
1086,983356
1087,6299641
1088,28682524
1089,3249905
1090,12749364
1091,28332085
1092,15902994
1093,15579461
1094,1828768
1095,6858967
1096,16054714
1097,739613
1098,17681577
1099,7955063
1100,30953678
1101,6798491
1102,23349890
1103,1978102
1104,21318024
1105,12078937
1106,26115335
1107,9399748
1108,30224649
1109,16570192
1110,12695145
1111,15472801
1112,8291058
1113,644727
1114,12135589
1115,8340584
1116,9062382
1117,16385651
1118,8976823
1119,1358647
1120,16860454
1121,9852897
1122,2610746
1123,8235216
1124,5539279
1125,27078884
1126,1752555
1127,19703484
1128,9305720
1129,18492948
1130,14594557
1131,1772671
1132,21733792
1133,20223672
1134,12890498
1135,24320693
1136,15371886
1137,2083593
1138,7729088
1139,11096749
1140,7653451
1141,18586006
1142,1793151
1143,15383137
1144,1667678
1145,15110902
1146,15773973
1147,22989100
1148,2203262
1149,10651390
1150,20929267
1151,81404
1152,17414241
1153,18404374
1154,8032584
1155,3323259
1156,2081258
1157,14660288
1158,17619879
1159,2597344
1160,16377080
1161,11005259
1162,3686684
1163,18207319
1164,7559133
1165,7254089
1166,273109
1167,10555598
1168,20838237
1169,12043408
1170,6945528
1171,16106109
1172,27783944
1173,18184328
1174,3826683
1175,20337505
1176,2710233
1177,10669184
1178,22850125
1179,18846462
1180,5028402
1181,171822
1182,17355546
1183,20230843
1184,2863007
1185,18377375
1186,9762376
1187,15237306
1188,19966803
1189,30176255
1190,15026345
1191,12935321
1192,6805017
1193,22044346
1194,15080020
1195,19858165
1196,5474506
1197,27239688
1198,20461001
1199,299225
1200,11427623
1201,20056921
1202,19590679
1203,7206956
1204,6419694
1205,7937287
1206,20823966
1207,14736497
1208,25939952
1209,2240500
1210,25286049
1211,27071702
1212,9633748
1213,6717737
1214,1749406
1215,7226916
1216,15680492
1217,1130272
1218,17440739
1219,19289534
1220,17383094
1221,10406406
1222,4107250
1223,18087601
1224,12535962
1225,1913620
1226,1912131
1227,25228148
1228,19952859
1229,12609230
1230,21246380
1231,19584162
1232,18208574
1233,5441320
1234,25245553
1235,22641616
1236,11548120
1237,6031923
1238,9934432
1239,19307782
1240,21642991
1241,24378064
1242,9802839
1243,15157377
1244,18175061
1245,16600690
1246,3010161
1247,18227305
1248,17904089
1249,17133485
1250,8409878
1251,17225004
1252,19535703
1253,19850784
1254,3597730
1255,20065266
1256,23391484
1257,7971606
1258,23019395
1259,15149334
1260,19775282
1261,11466716
1262,9214597
1263,21381899
1264,23843956
1265,19644504
1266,9606733
1267,11710542
1268,31284023
1269,15273860
1270,22440634
1271,10904241
1272,30368989
1273,18495421
1274,1714057
1275,5538905
1276,12865603
1277,16956363
1278,7241779
1279,17927297
1280,23684558
1281,4585769
1282,7353909
1283,11809813
1284,19376526
1285,25460361
1286,567255
1287,575199
1288,3115369
1289,10372568
1290,3829965
1291,6468630
1292,18464084
1293,8834352
